i,q,p_L
85,1.15,0.509452851555764
85,1.2,0.5057121408717318
85,1.25,0.5014200327474828
85,1.3,0.49850531342798854
85,1.35,0.4932785832922515
85,1.4,0.48881441091070704
85,1.45,0.48397437004209054
85,1.5,0.4792113729598489
85,1.55,0.4748608910091516
85,1.6,0.46867168407917453
85,1.65,0.4626007546976488
85,1.7,0.45857598787253034
85,1.75,0.452334934943038
85,1.8,0.4480335432322652
85,1.85,0.44231649554623553
85,1.9,0.43589150626636036
85,1.95,0.4309775499672968
85,2.0,0.424885117246093
85,2.05,0.42029981471627975
85,2.1,0.41598672263718495
85,2.15,0.41205962074178426
85,2.2,0.4077156412924513
85,2.25,0.40244226777145026
85,2.3,0.3987733841322794
85,2.35,0.39410849609234316
85,2.4,0.39103402903666695
85,2.45,0.38584209558122373
85,2.5,0.3836699305285493
85,2.55,0.3788145685385572
85,2.6,0.37531732157000375
85,2.65,0.3730202073749499
85,2.7,0.37110496918467917
85,2.75,0.3670804837543046
85,2.8,0.3633232729121366
85,2.85,0.35972662492339424
85,2.9,0.3571276595567805
85,2.95,0.35497159604792605
90,0.0,0.5460825093717331
90,0.05,0.5452704782047089
90,0.1,0.5444373794952089
90,0.15,0.54283779663195
90,0.2,0.5424421435238578
90,0.25,0.5421738297904026
90,0.3,0.5413735703495965
90,0.35,0.5400509476661793
90,0.4,0.5383725034043686
90,0.45,0.5370772390699927
90,0.5,0.5356995393914745
90,0.55,0.5340049879459726
90,0.6,0.5314919452725274
90,0.65,0.5290405758514165
90,0.7,0.5275665454379651
90,0.75,0.5249371921458447
90,0.8,0.5229006759329303
90,0.85,0.5198979019277276
90,0.9,0.5178990620968904
90,0.95,0.5165027899660748
90,1.0,0.5103254811183503
90,1.05,0.5072599063675309
90,1.1,0.503648022714067
90,1.15,0.5001907468606118
90,1.2,0.49616051390430094
90,1.25,0.4918875390234412
90,1.3,0.4880216253517168
90,1.35,0.48226848906495823
90,1.4,0.4779361791975377
90,1.45,0.47299301389851367
90,1.5,0.467609739093742
90,1.55,0.4636038908539117
90,1.6,0.45703897862033627
90,1.65,0.4501418942332999
90,1.7,0.4454133071118086
90,1.75,0.4394543320877018
90,1.8,0.4342132616601222
90,1.85,0.4280924311575479
90,1.9,0.4230723583020131
90,1.95,0.4173246726833183
90,2.0,0.41258102974452815
90,2.05,0.4072402789378934
90,2.1,0.40238854893048914
90,2.15,0.3973958354777122
90,2.2,0.39315747736373696
90,2.25,0.3891597249736545
90,2.3,0.3847984288874903
90,2.35,0.38077008382873523
90,2.4,0.376523830777185
90,2.45,0.3732959079018124
90,2.5,0.36972472793848954
90,2.55,0.36574321515816666
90,2.6,0.3625466848755353
90,2.65,0.35923530541650883
90,2.7,0.3585333057343624
90,2.75,0.3531502009782528
90,2.8,0.35050488825029796
90,2.85,0.3469176306239423
90,2.9,0.344108095245251
90,2.95,0.34152766980413884
95,0.0,0.542241746250384
95,0.05,0.5412084215042927
95,0.1,0.5401934601809437
95,0.15,0.539466815082938
95,0.2,0.53902885094007
95,0.25,0.5381434683973254
95,0.3,0.5373774683760152
95,0.35,0.5353750495296733
95,0.4,0.5349157767256976
95,0.45,0.5331920870975011
95,0.5,0.5310603228874894
95,0.55,0.5301475737900342
95,0.6,0.5264478325443622
95,0.65,0.5249024553377144
95,0.7,0.5223907103561916
95,0.75,0.5196652586058473
95,0.8,0.5175459248377962
95,0.85,0.5153926081753196
95,0.9,0.513081702212059
95,0.95,0.5112076783217718
95,1.0,0.5041156964346503
95,1.05,0.5019011848544686
95,1.1,0.4983667968740777
95,1.15,0.4936989939735019
95,1.2,0.4898985533634467
95,1.25,0.48582309496620046
95,1.3,0.4815495261289646
95,1.35,0.4764460071225316
95,1.4,0.47103044254621
95,1.45,0.46599574803412985
95,1.5,0.4605860707063063
95,1.55,0.45566386780457
95,1.6,0.44923416594595844
95,1.65,0.44342579679171196
95,1.7,0.43798088523720147
95,1.75,0.4312782948771742
95,1.8,0.42614783996692357
